Unnamed: 0,kW,kW.1,kW.2,kW.3,kWh,kWh.1,kWh.2,kWh.3
Periodo,Potencia Convenida P,Potencia Convenida FP,Potencia Registrada FP,Potencia Registrada P,Energía Pico,Energía Resto,Energía Valle,Reactiva
2025-05-31 00:00:00,200,200,129,117,8522,29841,10644,14277
2025-06-30 00:00:00,200,200,123,101,7366,25952,8246,15311
2025-07-31 00:00:00,200,200,154,138,10499,27754,7532,23401
2025-08-31 00:00:00,160,160,160,145,12901,35851,9901,33684
2025-09-30 00:00:00,160,160,161,146,10551,31698,7988,28363
2025-10-31 00:00:00,160,160,160,134,12061,34216,9072,32773
2025-11-30 00:00:00,,,,,,,,
2025-12-31 00:00:00,160,160,160,151,12120,34902,8215,31756
2026-01-31 00:00:00,160,160,154,113,9290,27815,7101,25467
2026-02-28 00:00:00,160,160,103,80,7026,21365,6414,18335
2026-03-31 00:00:00,160,160,114,86,6804,22032,6062,16689
2026-04-30 00:00:00,160,160,106,87,6397,21988,7736,12151
