Unnamed: 0,kW,kW.1,kW.2,kW.3,kWh,kWh.1,kWh.2,kWh.3
Periodo,Potencia Convenida P,Potencia Convenida FP,Potencia Registrada FP,Potencia Registrada P,Energía Pico,Energía Resto,Energía Valle,Reactiva
2023-12-31 00:00:00,60,60,85,69,3178,11684,2846,668
,,,,,,,,
2024-02-29 00:00:00,60,60,116,97,4198,12584,3806,603
2024-03-31 00:00:00,60,60,86,66,2913,10579,2897,678
2024-04-30 00:00:00,60,60,111,100,4166,12823,4359,1185
2024-05-31 00:00:00,60,60,125,126,4570,14570,3931,1207
2024-06-30 00:00:00,60,60,107,107,3700,10378,4296,2064
2024-07-31 00:00:00,60,60,118,87,4375,13578,4323,924
2024-08-31 00:00:00,60,60,125,132,3995,12245,3661,1038
2024-09-30 00:00:00,60,60,117,85,3023,9291,3013,949
2024-10-31 00:00:00,60,60,138,123,3817,11162,3552,1283
2024-11-30 00:00:00,60,60,93,85,3539,9763,3505,841
2024-12-31 00:00:00,60,60,113,98,2903,7925,3457,1229
2025-01-31 00:00:00,60,60,127,113,3901,11588,3941,1638
2025-02-28 00:00:00,60,60,130,126,4757,13136,4333,1557
2025-03-31 00:00:00,60,60,129,114,3250,11738,3430,2104
2025-04-30 00:00:00,60,60,104,92,3534,10125,2848,1654
2025-05-31 00:00:00,60,60,113,87,3712,9535,3493,1523
2025-06-30 00:00:00,60,60,153,105,3596,11131,3298,1501
2025-07-31 00:00:00,60,60,91,72,3358,12209,2905,3331
2025-08-31 00:00:00,60,60,111,104,4691,12850,4389,1670
2025-09-30 00:00:00,60,60,123,92,2911,9829,3038,1415
2025-10-31 00:00:00,60,60,116,103,3340,9538,3349,1408
2025-11-30 00:00:00,60,60,129,123,3779,11426,3911,12666
2025-12-31 00:00:00,60,60,114,114,3908,13296,3754,1685
2026-01-31 00:00:00,60,60,130,121,2955,9695,3395,1532
2026-02-28 00:00:00,60,60,104,104,3089,9049,2918,1300
