Unnamed: 0,kW,kW.1,kW.2,kW.3,kWh,kWh.1,kWh.2,kWh.3
Periodo,Potencia Convenida P,Potencia Convenida FP,Potencia Registrada FP,Potencia Registrada P,Energía Pico,Energía Resto,Energía Valle,Reactiva
2025-05-31 00:00:00,504,504,484.13,489.73,44643.24,118097.57,5276.45,21709.36
2025-06-30 00:00:00,504,504,492.48,472.9,31672.08,87290.06,4431.03,20128.11
2025-07-31 00:00:00,504,504,94.18,76.9,7262.57,17623.51,4073.11,18571.46
2025-08-31 00:00:00,504,504,98.78,78.62,7513.12,18281.38,4275.07,19903.83
2025-09-30 00:00:00,504,504,96.77,324.86,7617.24,19483.85,4234.75,14880.6
2025-10-31 00:00:00,504,504,493.92,396.29,7805.38,42107.18,4096.44,6993.07
2025-11-30 00:00:00,504,504,486.72,86.4,7664.62,69796.66,4143.8,2167.77
2025-12-31 00:00:00,504,504,495.65,476.93,23984.71,97955.13,4907.02,659.38
2026-01-31 00:00:00,504,504,499.39,473.18,28370.95,93782.02,4896.14,50486.76
2026-02-28 00:00:00,504,504,509.18,475.49,31083.41,102576.46,4680.95,35380.58
2026-03-31 00:00:00,504,504,518.11,468,35929.73,115060.53,5001.05,4398.27
2026-04-30 00:00:00,504,504,484.42,460.51,35349.04,99107.79,4766.19,9671.11
